,X,id,studentID,groupID,timeUsed,TimeUsedSec,gender
250,833,864,242027,mth32601,51797,51.797,0
251,834,863,jdunn,mth32601,67805,67.805,0
252,835,862,patrick91,mth32601,65755,65.755,1
253,837,860,pward,mth32601,56576,56.576,0
254,838,858,alexgaertner,mth32601,51089,51.089,0
255,839,859,raw9,mth32601,62605,62.605,1
256,840,857,201967,mth32601,47829,47.829,0
257,841,854,"AgentBagginsDerekJeter",mth32601,55380,55.38,1
258,842,855,"281621mt9669",mth32601,55009,55.009,1
259,843,853,999999999,mth32601,43805,43.805,1
260,845,851,jordan,mth32601,100104,100.104,1
261,846,850,patrick91,mth32601,101467,101.467,1
262,847,849,"281621mt9669",mth32601,78712,78.712,1
263,848,847,jdunn,mth32601,70577,70.577,0
264,849,848,pward,mth32601,68078,68.078,0
265,850,845,"AgentBagginsDerekJeter",mth32601,67030,67.03,1
266,851,846,bmill678,mth32601,67109,67.109,0
267,853,842,zachzaniboni,mth32601,64741,64.741,1
268,854,841,raw9,mth32601,60628,60.628,1
269,856,838,242027,mth32601,54961,54.961,0
270,857,837,999999999,mth32601,54220,54.22,1
271,858,836,alexgaertner,mth32601,51871,51.871,0
272,859,835,201967,mth32601,49031,49.031,0
273,785,979,tcass,mth32602,59998,59.998,1
274,786,978,tcass,mth32602,94442,94.442,1
275,793,903,mc,mth32602,57574,57.574,1
276,795,902,mc,mth32602,54857,54.857,1
277,796,901,emilybaldwin,mth32602,63503,63.503,0
278,797,899,pablocombalia,mth32602,63820,63.82,1
279,799,898,ns,mth32602,60763,60.763,1
280,800,896,245807,mth32602,54335,54.335,0
281,801,897,apayne,mth32602,56500,56.5,1
282,802,895,aj,mth32602,56377,56.377,1
283,803,893,gc,mth32602,57064,57.064,1
284,804,894,epc,mth32602,56470,56.47,0
285,805,892,252934,mth32602,55283,55.283,0
286,806,890,lp,mth32602,53385,53.385,0
287,809,888,bm77,mth32602,48991,48.991,1
288,810,887,aj,mth32602,75813,75.813,1
289,811,886,245807,mth32602,67674,67.674,0
290,813,883,pablocombalia,mth32602,70840,70.84,1
291,814,884,ns,mth32602,61486,61.486,1
292,815,882,epc,mth32602,71214,71.214,0
293,817,880,252934,mth32602,67068,67.068,0
294,818,879,apayne,mth32602,66315,66.315,1
295,819,878,emilybaldwin,mth32602,63586,63.586,0
296,821,876,gc,mth32602,60063,60.063,1
297,823,874,lp,mth32602,55079,55.079,0
298,824,873,bm77,mth32602,52447,52.447,1
299,70,14907,tron5552,MAED550,42187,42.187,0
300,71,14906,7580,MAED550,39059,39.059,0
301,73,14905,MMATUSZAK,MAED550,45698,45.698,0
302,74,14903,"MAED550Collene",MAED550,42674,42.674,0
303,75,14902,"52wca",MAED550,36066,36.066,1
304,76,14900,czer5675,MAED550,34499,34.499,0
305,77,14901,Steve,MAED550,41275,41.275,1
306,78,14899,DYLAN,MAED550,38186,38.186,1
307,79,14898,Ellie,MAED550,37022,37.022,0
308,80,14897,Shelby,MAED550,44470,44.47,0
309,81,14896,Madison,MAED550,40563,40.563,0
310,82,14895,DYLAN,MAED550,31315,31.315,1
311,83,14894,Collene,MAED550,42400,42.4,0
312,85,14891,"52wca",MAED550,37175,37.175,1
313,86,14892,Shelby,MAED550,44599,44.599,0
314,87,14889,MMATUSZAK,MAED550,34698,34.698,0
315,88,14890,Steve,MAED550,31145,31.145,1
316,89,14888,Ellie,MAED550,33378,33.378,0
317,90,14887,czer5675,MAED550,34935,34.935,0
318,91,14885,7580,MAED550,33191,33.191,0
319,92,14886,tron5552,MAED550,30791,30.791,0
320,93,14884,Madison,MAED550,29280,29.28,0
321,95,14882,Dylan,MAED550,47827,47.827,1
322,96,14881,Madison,MAED550,33424,33.424,0
323,97,14880,MMATUSZAK,MAED550,37378,37.378,0
324,99,14879,czer5675,MAED550,42192,42.192,0
325,100,14877,tron5552,MAED550,46215,46.215,0
326,101,14876,Steve,MAED550,32647,32.647,1
327,102,14875,Shelby,MAED550,39719,39.719,0
328,103,14874,Ellie,MAED550,34042,34.042,0
329,104,14873,"52wca",MAED550,40455,40.455,1
330,105,14872,7580,MAED550,36123,36.123,0
331,107,14870,MMATUSZAK,MAED550,52491,52.491,0
332,108,14869,Collene,MAED550,47705,47.705,0
333,109,14868,Shelby,MAED550,44692,44.692,0
334,110,14867,7580,MAED550,42803,42.803,0
335,111,14866,czer5675,MAED550,41203,41.203,0
336,112,14863,Dylan,MAED550,38525,38.525,1
337,113,14864,Ellie,MAED550,42020,42.02,0
338,114,14865,Madison,MAED550,40265,40.265,0
339,115,14862,tron5552,MAED550,41068,41.068,0
340,116,14861,"52wca",MAED550,37676,37.676,1
341,117,14860,Steve,MAED550,34931,34.931,1
342,451,4525,octopus,336S14,35315,35.315,0
343,452,4524,octopus,336S14,39278,39.278,0
344,453,4523,BigRon,336S14,47115,47.115,1
345,454,4522,octopus,336S14,43271,43.271,0
346,455,4521,qazxcv,336S14,56251,56.251,0
347,456,4520,4668,336S14,54160,54.16,1
348,457,4519,BigRon,336S14,41314,41.314,1
349,458,4518,octopus,336S14,31238,31.238,0
350,459,4517,7,336S14,38257,38.257,0
351,460,4516,24601,336S14,40413,40.413,1
352,462,4514,qazxcv,336S14,60870,60.87,0
353,463,4513,qwerty4321,336S14,47625,47.625,1
354,464,4512,519955,336S14,52974,52.974,0
