"","X","id","studentID","groupID","v1label","v1value","v2label","v2value","v3label","v3value","numShapes","matchingScheme","requestedTime","timeUsed","timerDisplay","numErrors","shapesMatched","proximityValue","timestamp","TimeUsedSec","gender"
"59",181,13831,"TomBrady","MAT336S15","Gender","Male",NA,NA,NA,NA,24,"shape",0,35785,1,0,24,54,"2015-04-29 15:26:45",35.785,1
"60",182,13830,"IAMGANDALF","MAT336S15","Gender","M",NA,NA,NA,NA,24,"shape",0,36021,1,0,24,54,"2015-04-29 15:26:39",36.021,1
"61",183,13829,"gandu","MAT336S15","Gender","M",NA,NA,NA,NA,24,"diffColor",0,49997,1,3,24,54,"2015-04-29 15:26:31",49.997,1
"62",184,13828,"311252","MAT336S15","Gender","M",NA,NA,NA,NA,24,"optionColor",0,38679,1,1,24,54,"2015-04-29 15:26:08",38.679,1
"63",185,13827,"TomBrady","MAT336S15","Gender","Male",NA,NA,NA,NA,24,"shape",0,37938,1,0,24,54,"2015-04-29 15:26:06",37.938,1
"64",186,13826,"q","MAT336S15","Gender","F",NA,NA,NA,NA,24,"both",0,37061,1,0,24,54,"2015-04-29 15:25:55",37.061,0
"65",187,13825,"111","MAT336S15","Gender","F",NA,NA,NA,NA,24,"diffColor",0,58482,1,3,24,54,"2015-04-29 15:25:53",58.482,0
"66",188,13824,"IAMGANDALF","MAT336S15","Gender","M",NA,NA,NA,NA,24,"optionColor",0,35837,1,0,24,54,"2015-04-29 15:25:52",35.837,1
"67",189,13823,"KUMNSTAY
dajiba","MAT336S15","Gender","M",NA,NA,NA,NA,24,"shape",0,53942,1,1,24,54,"2015-04-29 15:25:41",53.942,1
"68",190,13822,"gandu","MAT336S15","Gender","M",NA,NA,NA,NA,24,"both",0,39138,1,0,24,54,"2015-04-29 15:25:26",39.138,1
"69",191,13821,"TomBrady","MAT336S15","Gender","Male",NA,NA,NA,NA,24,"shape",0,37790,1,1,24,54,"2015-04-29 15:25:23",37.79,1
"70",192,13820,"311252","MAT336S15","Gender","M",NA,NA,NA,NA,24,"both",0,35052,1,0,24,54,"2015-04-29 15:25:11",35.052,1
"71",193,13819,"q","MAT336S15","Gender","F",NA,NA,NA,NA,24,"optionColor",0,38296,1,1,24,54,"2015-04-29 15:25:00",38.296,0
"72",194,13818,"IAMGANDALF","MAT336S15","Gender","M",NA,NA,NA,NA,24,"diffColor",0,44247,1,1,24,54,"2015-04-29 15:24:51",44.247,1
"73",195,13817,"TomBrady","MAT336S15","Gender","Male",NA,NA,NA,NA,24,"shape",0,39934,1,1,24,54,"2015-04-29 15:24:28",39.934,1
"74",196,13816,"311252","MAT336S15","Gender","M",NA,NA,NA,NA,24,"diffColor",0,45196,1,0,24,54,"2015-04-29 15:24:22",45.196,1
"75",197,13815,"flowers","MAT336S15","Gender","F",NA,NA,NA,NA,24,"optionColor",0,29206,1,2,24,54,"2015-04-29 15:24:09",29.206,0
"76",198,13814,"q","MAT336S15","Gender","F",NA,NA,NA,NA,24,"shape",0,50477,1,1,24,54,"2015-04-29 15:24:03",50.477,0
"77",199,13813,"flowers","MAT336S15","Gender","F",NA,NA,NA,NA,24,"both",0,38642,1,1,24,54,"2015-04-29 15:23:35",38.642,0
"78",200,13812,"311252","MAT336S15","Gender","M",NA,NA,NA,NA,24,"shape",0,39363,1,0,24,54,"2015-04-29 15:23:24",39.363,1
"79",201,13811,"flowers","MAT336S15","Gender","F",NA,NA,NA,NA,24,"diffColor",0,34972,1,0,24,54,"2015-04-29 15:22:51",34.972,0
"80",202,13810,"flowers","MAT336S15","Gender","F",NA,NA,NA,NA,24,"shape",0,34919,1,2,24,54,"2015-04-29 15:22:03",34.919,0
"81",32,32910,"x86145","MA376B1","Gender","M",NA,NA,NA,NA,21,"diffColor",0,46716,1,0,21,54,"2016-09-15 09:28:47",46.716,1
"82",33,32909,"x86145","MA376B1","Gender","M",NA,NA,NA,NA,21,"diffColor",0,52439,1,0,21,54,"2016-09-15 09:27:45",52.439,1
"83",34,32908,"x94299","MA376B1","Gender","F",NA,NA,NA,NA,21,"diffColor",0,55276,1,0,21,54,"2016-09-15 09:26:39",55.276,0
"84",35,32907,"x94299","MA376B1","Gender","F",NA,NA,NA,NA,21,"diffColor",0,47336,1,3,21,54,"2016-09-15 09:23:45",47.336,0
"85",36,32906,"x86145","MA376B1","Gender","M",NA,NA,NA,NA,21,"diffColor",0,53019,1,0,21,54,"2016-09-15 09:23:09",53.019,1
"86",37,32905,"x86658","MA376B1","Gender","F",NA,NA,NA,NA,21,"shape",0,56753,1,0,21,54,"2016-09-15 09:22:54",56.753,0
"87",38,32904,"x86145","MA376B1","Gender","M",NA,NA,NA,NA,21,"diffColor",0,51381,1,0,21,54,"2016-09-15 09:22:03",51.381,1
"88",39,32903,"x86263","MA376B1","Gender","M",NA,NA,NA,NA,21,"shape",0,87625,1,1,21,54,"2016-09-15 09:11:54",87.625,1
"89",40,32902,"x85831","MA376B1","Gender","M",NA,NA,NA,NA,21,"diffColor",0,79997,1,2,21,54,"2016-09-15 09:11:52",79.997,1
"90",41,32901,"x94299","MA376B1","Gender","F",NA,NA,NA,NA,21,"diffColor",0,49265,1,0,21,54,"2016-09-15 09:11:51",49.265,0
"91",42,32900,"84758","MA376B1","Gender","M",NA,NA,NA,NA,21,"diffColor",0,64240,1,3,21,54,"2016-09-15 09:11:38",64.24,1
"92",43,32899,"x86667","MA376B1","Gender","F",NA,NA,NA,NA,21,"shape",0,48791,1,0,21,54,"2016-09-15 09:11:37",48.791,0
"93",44,32898,"x86145","MA376B1","Gender","M",NA,NA,NA,NA,21,"diffColor",0,63027,1,1,21,54,"2016-09-15 09:11:34",63.027,1
"94",45,32897,"X7589","MA376B1","GENDER","M",NA,NA,NA,NA,21,"shape",0,65831,1,1,21,54,"2016-09-15 09:11:32",65.831,1
"95",46,32896,"x85988","MA376B1","Gender","M",NA,NA,NA,NA,21,"shape",0,53265,1,0,21,54,"2016-09-15 09:11:31",53.265,1
"96",47,32894,"x86658","MA376B1","Gender","M",NA,NA,NA,NA,21,"shape",0,56920,1,2,21,54,"2016-09-15 09:11:26",56.92,1
"97",48,32895,"x86805","MA376B1","Gender","M",NA,NA,NA,NA,21,"shape",0,57237,1,4,21,54,"2016-09-15 09:11:26",57.237,1
"98",50,32893,"x86357","MA376B1","Gender","M",NA,NA,NA,NA,21,"diffColor",0,56832,1,2,21,54,"2016-09-15 09:11:23",56.832,1
"99",51,32890,"86151","MA376B1","Gender","F",NA,NA,NA,NA,21,"diffColor",0,45048,1,0,21,54,"2016-09-15 09:11:13",45.048,0
"100",52,32891,"inst","MA376B1","Gender","M",NA,NA,NA,NA,21,"diffColor",0,45867,1,1,21,54,"2016-09-15 09:11:13",45.867,1
"101",53,32889,"x86158","MA376B1","Gender","F",NA,NA,NA,NA,21,"diffColor",0,41561,1,0,21,54,"2016-09-15 09:11:09",41.561,0
"102",54,32888,"x86067","MA376B1","Gender","M",NA,NA,NA,NA,21,"shape",0,39619,1,1,21,54,"2016-09-15 09:11:07",39.619,1
"103",408,5003,"2014220","MATH22015","Gender","M",NA,NA,NA,NA,15,"diffColor",0,23705,1,0,15,54,"2014-08-29 13:03:29",23.705,1
"104",409,5000,"98","MATH22015","Gender:","M",NA,NA,NA,NA,15,"shape",0,29542,1,2,15,54,"2014-08-29 13:03:08",29.542,1
"105",410,4998,"98","MATH22015","Gender:","M",NA,NA,NA,NA,15,"shape",0,31245,1,4,15,54,"2014-08-29 13:02:34",31.245,1
"106",411,4996,"123456789","MATH22015","Gender","F",NA,NA,NA,NA,15,"shape",0,36229,1,1,15,54,"2014-08-29 13:00:48",36.229,0
"107",412,4995,"123456789","MATH22015","Gender","F",NA,NA,NA,NA,15,"shape",0,21646,1,0,15,54,"2014-08-29 13:00:02",21.646,0
"108",413,4994,"5230053","MATH22015","Gender","M",NA,NA,NA,NA,15,"shape",0,20657,1,0,15,54,"2014-08-29 12:56:28",20.657,1
"109",414,4992,"5025","MATH22015","Gender","Male",NA,NA,NA,NA,15,"shape",0,29102,1,2,15,54,"2014-08-29 12:56:06",29.102,1
"110",415,4993,"765378","MATH22015","Gender","F",NA,NA,NA,NA,15,"shape",0,32117,1,1,15,54,"2014-08-29 12:56:06",32.117,0
